"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"03/01/2022","76.378","74.691","-2,12","74.605","77.001","n/d"
"30/12/2021","75.777","76.305","0,60","75.397","76.378","n/d"
"29/12/2021","76.392","75.849","-0,84","75.555","76.532","n/d"
"28/12/2021","76.018","76.493","0,49","75.452","76.493","n/d"
"27/12/2021","75.995","76.119","0,29","75.511","76.397","n/d"
"23/12/2021","76.378","75.900","-0,58","75.743","76.488","n/d"
"22/12/2021","76.154","76.341","0,24","75.549","76.397","n/d"
"21/12/2021","76.261","76.158","0,02","75.535","76.274","n/d"
"20/12/2021","76.719","76.144","-1,15","75.619","76.830","n/d"
"17/12/2021","76.321","77.032","0,82","75.880","77.224","n/d"
"16/12/2021","77.611","76.402","-1,38","76.135","77.699","n/d"
"15/12/2021","77.204","77.472","0,40","75.984","77.569","n/d"
"14/12/2021","78.451","77.164","-1,23","76.991","79.209","n/d"
"13/12/2021","78.120","78.128","0,17","77.821","79.142","n/d"
"10/12/2021","77.922","77.999","0,44","77.922","78.839","n/d"
"09/12/2021","78.427","77.661","-0,99","77.436","78.939","n/d"
"08/12/2021","77.833","78.435","0,87","77.748","79.428","n/d"
"07/12/2021","78.641","77.759","-0,51","77.552","78.791","n/d"
"06/12/2021","78.416","78.160","-0,09","77.943","79.082","n/d"
"03/12/2021","77.186","78.233","1,54","77.184","78.764","n/d"
"02/12/2021","75.509","77.047","2,61","75.509","77.835","n/d"
"01/12/2021","76.104","75.084","-1,06","74.816","76.894","n/d"
"30/11/2021","76.571","75.885","-0,96","74.965","76.794","n/d"
"29/11/2021","76.278","76.624","1,06","76.045","76.820","n/d"
"26/11/2021","76.432","75.820","-1,66","75.364","76.442","n/d"
"25/11/2021","76.127","77.100","1,50","76.113","77.597","n/d"
"24/11/2021","75.444","75.963","0,52","75.273","76.264","n/d"
"23/11/2021","74.835","75.569","1,11","74.310","75.684","n/d"
"22/11/2021","75.935","74.738","-1,32","74.709","76.364","n/d"
"19/11/2021","75.052","75.739","1,07","75.025","76.545","n/d"
"18/11/2021","74.835","74.936","0,31","74.830","75.949","n/d"
